UNITID,XBAREVCT,BAREVCT,XBAEXCLU,BAEXCLU,XBAAC150,BAAC150,XBANC100,BANC100,XBAGR100,BAGR100,XBANC150,BANC150,XBAGR150,BAGR150,XBAAEXCL,BAAEXCL,XBAAC200,BAAC200,XBANC20A,BANC200A,XBASTEND,BASTEND,XBANC200,BANC200,XBAGR200,BAGR200,XL4REVCT,L4REVCT,XL4EXCLU,L4EXCLU,XL4AC150,L4AC150,XL4NC100,L4NC100,XL4GR100,L4GR100,XL4NC150,L4NC150,XL4GR150,L4GR150,XL4AEXCL,L4AEXCL,XL4AC200,L4AC200,XL4NC20A,L4NC200A,XL4STEND,L4STEND,XL4NC200,L4NC200,XL4GR200,L4GR200
119067,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,R,494,R,0,R,494,R,32,R,6,R,117,R,24,R,0,R,494,R,49,R,65,R,166,R,34
119137,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,R,1632,R,0,R,1632,R,233,R,14,R,609,R,37,R,0,R,1632,R,137,R,225,R,746,R,46
119164,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,R,2599,R,0,R,2599,R,216,R,8,R,752,R,29,R,0,R,2599,R,255,R,618,R,1007,R,39
119173,R,180,R,0,R,180,R,76,R,42,R,109,R,61,R,0,R,180,R,4,R,0,R,113,R,63,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,
119216,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,R,858,R,0,R,858,R,42,R,5,R,186,R,22,R,0,R,858,R,86,R,0,R,272,R,32
119234,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,R,28,R,0,R,28,R,27,R,96,R,27,R,96,Z,0,R,28,Z,0,Z,0,R,27,R,96
119270,R,16,R,0,R,16,R,2,R,13,R,3,R,19,Z,0,R,16,Z,0,Z,0,R,3,R,19,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,
119331,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,R,494,R,0,R,494,R,48,R,10,R,178,R,36,R,0,R,494,R,42,R,90,R,220,R,45
119359,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,R,623,R,0,R,623,R,398,R,64,R,478,R,77,R,0,R,623,R,5,R,0,R,483,R,78
119456,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,R,601,R,0,R,601,R,363,R,60,R,408,R,68,R,0,R,601,R,1,R,0,R,409,R,68
119465,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,R,516,R,0,R,516,R,329,R,64,R,375,R,73,R,0,R,516,R,2,R,0,R,377,R,73
