"UNITID","ARANK","SAOUTLT","non_inst_acad_staff_salary_research_outlay","non_inst_acad_staff_salary_pubservice_outlay","non_inst_acad_staff_salary_other_outlay","admin_profstaff_salary_mgmt_outlay","admin_profstaff_salary_business_outlay","admin_profstaff_salary_compeng_outlay","admin_profstaff_salary_community_outlay","admin_profstaff_salary_technical_outlay","nonadmin_servicestaffsalary_outlay","nonadmin_servicestaffsalary_salaryoutlay","admin_profstaff_salary_ofcadmin_outlay","nonadmin_servicestaffsalary_construction_outlay","nonadmin_servicestaffsalary_production_outlay","HRTOTLT","admin_profstaff_management","admin_profstaff_business","admin_profstaff_comp","admin_profstaff_comunityservice","admin_profstaff_healthcare","admin_profstaff_ofcadmin","non_instn_acad_staff_research","non_instn_acad_staff_pub_service","non_instn_acad_staff_library","instruction_staff","non_admin_service_staff_service","non_admin_service_staff_sales","non_admin_service_staff_resource","non_admin_service_staff_prod","instructors_per_thousand_student","admin_professional_staff","admin_professionalstaff_perthousandstudent","noninstruction_academicstaff","noninstruction_academicstaff_perthousandstudent","nonadmin_trade_servicestaff","nonadmin_tradeservicestaff_perthousandstudent","all_instructors_staff","instructor_salarypermillion","adminprofessionalstaff_salarypermillion","noninstruction_academicstaff_salarypermillion","nonadmin_tradeservicestaff_salarypermillion"
"206394","7","319124","0","0","157448","241031","156851","36545","0","0","0","29302","0","0","0","59","4","4","1","0","0","0","0","0","4","5","0","1","0","0","20","9","36","4","16","1","4","19",,,,
"206437","7","7814878","0","0","1888255","2182499","652449","536077","2021984","0","709043","0","1377531","214906","62754","570","23","12","12","53","0","44","0","0","41","131","29","0","6","2","37","144","40","41","11","37","10","353","377867","66612","91301","47709"
"206446","7","2393642","0","0","95781","1074205","53996","118383","0","0","195706","22277","485476","151975","52500","283","25","2","4","0","0","18","0","0","3","53","7","1","7","1","21","49","20","3","1","16","6","121","330088","66952","13208","58258"
"206491","7","1561554","0","0","787988","500450","341066","150500","437128","0","49941","0","178359","31220","27000","155","5","8","3","10","0","6","0","0","20","36","2","0","1","1","68","32","61","20","38","4","8","92","292737","33441","147720","20276"
"206507","7","3584515","0","0","237294","1203756","400742","347413","967075","59450","152643","293642","1073757","365224","26416","239","12","8","7","23","1","33","0","0","7","68","6","8","9","1","50","84","62","7","5","24","18","183","347404","109833","22998","81210"
"206516","7","328996","0","0","0","279896","0","0","0","0","108048","0","320550","0","0","27","4","0","0","0","0","8","0","0","0","6","3","0","0","0",,"12",,"0",,"3",,"21","423110","412253","0","138957"
"206525","7","8362413","0","0","699220","3412684","594088","599449","1872410","118074","917199","0","1744165","799469","0","470","47","13","13","48","3","64","0","0","14","131","23","0","16","0","65","188","93","14","7","39","19","372","349653","77870","29236","71778"
"206589","7","12683602","0","0","1757077","5150953","1528572","834561","2296557","699098","3516330","41767","1810348","1041319","132392","753","52","33","15","49","14","48","0","0","35","176","122","2","28","4","81","211","97","35","16","156","72","578","339335","67141","47008","126594"
"206604","7","55282137","0","0","3090722","14029320","6446669","16372547","7356432","0","1931032","94469","18248036","4972653","748879","2872","136","117","320","143","0","479","0","0","63","861","71","2","146","21","43","1195","60","63","3","240","12","2359","313449","103470","17524","43926"
"206622","7","26039984","0","0","2761324","9575587","3988225","2481999","5404601","754781","2136727","0","4155772","964642","26666","1288","88","63","40","95","13","127","0","0","57","357","63","0","20","1","45","426","53","57","7","84","11","924","359420","67782","38114","43175"
"206631","7","691366","0","0","68437","517061","0","38198","0","0","0","0","735217","0","0","85","8","0","1","0","0","17","0","0","2","12","0","0","0","0","13","26","29","2","2","0","0","40",,,,
