UNITID,private_nonprofit_total_salary_wage,public_total_salary_wage,privateprofit_total_salary_wage
174437,9707586,NULL,NULL
174491,27963691,NULL,NULL
174507,14772590,NULL,NULL
174525,1513866,NULL,NULL
174747,30203891,NULL,NULL
174792,32372929,NULL,NULL
174817,32658695,NULL,NULL
174844,48107810,NULL,NULL
174862,7630924,NULL,NULL
174899,37405594,NULL,NULL
174914,125393042,NULL,NULL
175005,43389172,NULL,NULL
175120,2443453,NULL,NULL
175139,1999860,NULL,NULL
175227,10438003,NULL,NULL
175281,14875175,NULL,NULL
175421,17251659,NULL,NULL
175430,3637207,NULL,NULL
175980,15978086,NULL,NULL
176053,33669833,NULL,NULL
176318,6334368,NULL,NULL
176336,352494,NULL,NULL
176406,10288782,NULL,NULL
176451,1035854,NULL,NULL
176479,19102349,NULL,NULL
176600,1485235,NULL,NULL
176619,3009997,NULL,NULL
176628,12360169,NULL,NULL
176664,2891416,NULL,NULL
176770,5846814,NULL,NULL
176789,2699463,NULL,NULL
176910,2174744,NULL,NULL
176947,12994609,NULL,NULL
177038,5434031,NULL,NULL
177065,49421754,NULL,NULL
177083,679148,NULL,NULL
177092,9063886,NULL,NULL
177117,6173484,NULL,NULL
177126,4845144,NULL,NULL
177144,7329941,NULL,NULL
177214,27618371,NULL,NULL
177278,2193376,NULL,NULL
177339,17127596,NULL,NULL
177418,15842656,NULL,NULL
177427,2990487,NULL,NULL
177542,6118963,NULL,NULL
177719,8393435,NULL,NULL
177746,8100417,NULL,NULL
177816,2676112,NULL,NULL
177834,56116717,NULL,NULL
177931,294515,NULL,NULL
177968,61233087,NULL,NULL
177986,12622339,NULL,NULL
178059,27994525,NULL,NULL
178208,5234676,NULL,NULL
178244,13888543,NULL,NULL
178369,7835037,NULL,NULL
178518,1974525,NULL,NULL
178679,4441170,NULL,NULL
178697,15524904,NULL,NULL
178721,40310868,NULL,NULL
178891,8050125,NULL,NULL
179043,26588142,NULL,NULL
179159,383189589,NULL,NULL
179256,1430535,NULL,NULL
179265,16175227,NULL,NULL
179317,3448315,NULL,NULL
179326,18811036,NULL,NULL
179399,848038,NULL,NULL
179450,1958252,NULL,NULL
179548,8188019,NULL,NULL
179812,22050799,NULL,NULL
179867,1103430000,NULL,NULL
179894,103719210,NULL,NULL
179919,3838896,NULL,NULL
179946,10058724,NULL,NULL
179955,13211405,NULL,NULL
179964,11793277,NULL,NULL
180054,4731594,NULL,NULL
180106,14133829,NULL,NULL
180258,6320853,NULL,NULL
180595,9872916,NULL,NULL
180647,9758828,NULL,NULL
180814,40481915,NULL,NULL
180832,10089324,NULL,NULL
180878,5167110,NULL,NULL
180984,11134053,NULL,NULL
181002,208353762,NULL,NULL
181020,13284651,NULL,NULL
181093,3205943,NULL,NULL
181127,12221391,NULL,NULL
181145,194000,NULL,NULL
181297,7790418,NULL,NULL
181330,9421104,NULL,NULL
181376,864900,NULL,NULL
181446,17497245,NULL,NULL
181543,329376,NULL,NULL
181604,9058274,NULL,NULL
181738,8572804,NULL,NULL
181792,172033,NULL,NULL
181853,4011643,NULL,NULL
182458,6523191,NULL,NULL
182634,15239324,NULL,NULL
182670,350991581,NULL,NULL
182795,19346282,NULL,NULL
182829,8527713,NULL,NULL
182908,636795,NULL,NULL
182980,13574307,NULL,NULL
183026,72415869,NULL,NULL
183211,16099821,NULL,NULL
183239,27589470,NULL,NULL
183248,1202694,NULL,NULL
183275,1088554,NULL,NULL
183600,217251,NULL,NULL
183804,7995591,NULL,NULL
183822,19827772,NULL,NULL
183910,16501875,NULL,NULL
183974,20615874,NULL,NULL
184153,531205,NULL,NULL
184348,36264000,NULL,NULL
184357,156876,NULL,NULL
184603,93474798,NULL,NULL
184612,21231730,NULL,NULL
184773,18480438,NULL,NULL
184968,1667467,NULL,NULL
185572,73306931,NULL,NULL
185651,809280,NULL,NULL
185679,2836208,NULL,NULL
185758,1844654,NULL,NULL
186122,18817590,NULL,NULL
186131,553694000,NULL,NULL
186186,2431763,NULL,NULL
186283,71904000,NULL,NULL
186405,155112,NULL,NULL
186423,798200,NULL,NULL
186432,25167342,NULL,NULL
186584,116919000,NULL,NULL
186618,14055226,NULL,NULL
186867,87260435,NULL,NULL
186900,196100,NULL,NULL
188182,3603489,NULL,NULL
188207,1224147,NULL,NULL
188340,13225854,NULL,NULL
188429,99707326,NULL,NULL
188526,19745579,NULL,NULL
188535,11797498,NULL,NULL
188580,156836188,NULL,NULL
188641,25812077,NULL,NULL
188669,1947629,NULL,NULL
188678,3437244,NULL,NULL
188687,1507289,NULL,NULL
188854,19513963,NULL,NULL
188915,675756,NULL,NULL
188942,534874,NULL,NULL
189015,27668053,NULL,NULL
189088,55941466,NULL,NULL
189097,62016452,NULL,NULL
189264,162882,NULL,NULL
189273,685479,NULL,NULL
189282,2142614,NULL,NULL
189413,7048273,NULL,NULL
189422,6264162,NULL,NULL
189501,23749178,NULL,NULL
189705,41130834,NULL,NULL
189848,11003686,NULL,NULL
189857,891176,NULL,NULL
189981,1616767,NULL,NULL
190008,686035,NULL,NULL
190044,51476262,NULL,NULL
190071,2414672,NULL,NULL
190080,1697834,NULL,NULL
190099,71786373,NULL,NULL
190114,10897114,NULL,NULL
190150,1702832000,NULL,NULL
190248,9258149,NULL,NULL
190372,23949642,NULL,NULL
190415,871860178,NULL,NULL
190424,723434819,NULL,NULL
190451,2676948,NULL,NULL
190503,56542959,NULL,NULL
190707,177559,NULL,NULL
190716,26904530,NULL,NULL
190725,21595245,NULL,NULL
190752,1584237,NULL,NULL
190761,14923906,NULL,NULL
190770,24737126,NULL,NULL
190956,1360712,NULL,NULL
190983,15119886,NULL,NULL
191241,240977849,NULL,NULL
191320,3112109,NULL,NULL
191515,50140000,NULL,NULL
191533,20714900,NULL,NULL
191597,2983931,NULL,NULL
191621,8448662,NULL,NULL
191630,39535292,NULL,NULL
