UNITID,carnegie_basic,carnegie_ug_program,carnegie_grad_program,carnegie_ug_profile,carnegie_enroll_profile,carnegie_size_setting,carnegie_classification2000
141334,18,13,12,11,4,13,21
141361,9,1,-1,4,1,2,40
141468,10,1,-1,2,1,2,40
141486,18,10,11,6,5,10,21
141565,21,7,13,9,4,13,31
141574,15,11,14,11,5,15,15
141608,-3,-3,-3,-3,-3,-3,-3
141644,18,13,4,5,4,12,21
141680,11,1,-1,1,1,3,40
141796,11,1,-1,1,1,4,40
141802,11,1,-1,2,1,2,40
141811,11,1,-1,2,1,3,40
141839,12,2,-1,5,2,9,40
141848,-3,-3,-3,-3,-3,-3,-3
141936,26,-2,-2,-2,7,-2,53
141945,-3,-3,-3,-3,-3,-3,-3
141963,-3,-3,-3,-3,-3,-3,-3
141981,22,9,-1,5,2,6,31
141990,11,1,-1,1,1,2,40
142054,10,1,-1,4,1,2,-3
142090,24,-2,-2,-2,2,-2,51
142115,18,10,18,8,3,15,21
142179,1,1,-1,1,1,2,40
142276,16,13,15,8,4,12,16
142285,16,14,18,11,4,17,15
142294,21,6,1,10,3,8,31
142328,22,12,-1,6,2,9,32
142337,28,-2,-2,-2,2,-2,54
142407,-3,-3,-3,-3,-3,-3,-3
142416,-3,-3,-3,-3,-3,-3,-3
142443,2,1,-1,2,1,3,40
142461,18,13,11,10,5,11,22
142489,-3,-3,-3,-3,-3,-3,-3
142522,22,9,-1,10,2,15,40
142559,3,1,-1,1,1,3,40
142832,26,-2,-2,-2,7,-2,59
142869,-3,-3,-3,-3,-3,-3,-3
142878,-3,-3,-3,-3,-3,-3,-3
142887,30,-2,-2,-2,2,-2,56
143048,30,-2,-2,-2,4,-2,56
143084,21,6,-1,12,2,11,31
143118,18,13,12,11,5,13,21
143181,-3,-3,-3,-3,-3,-3,-3
143215,5,1,-1,1,1,4,40
143233,24,-2,-2,-2,7,-2,51
143279,3,1,-1,2,1,3,40
143288,22,9,-1,10,2,8,31
143297,26,-2,-2,-2,3,-2,53
143303,-3,-3,-3,-3,-3,-3,-3
143358,18,13,8,13,3,14,21
143376,-3,-3,-3,-3,-3,-3,-3
143464,-3,-3,-3,-3,-3,-3,-3
143473,-3,-3,-3,-3,-3,-3,-3
143482,-3,-3,-3,-3,-3,-3,-3
143491,-3,-3,-3,-3,-3,-3,-3
143516,-3,-3,-3,-3,-3,-3,-3
143534,-3,-3,-3,-3,-3,-3,-3
143543,-3,-3,-3,-3,-3,-3,-3
143552,-3,-3,-3,-3,-3,-3,-3
143613,2,1,-1,2,1,2,40
143659,24,-2,-2,-2,7,-2,51
143695,-3,-3,-3,-3,-3,-3,-3
143853,25,-2,-2,-2,7,-2,52
143978,26,-2,-2,-2,6,-2,59
144005,18,10,12,6,4,12,21
144014,24,-2,-2,-2,7,-2,51
144050,15,5,14,12,6,17,15
144157,7,1,-1,2,1,3,40
144166,7,1,-1,1,1,3,40
144175,7,1,-1,2,1,3,40
144184,7,1,-1,1,1,4,40
144193,7,1,-1,1,1,4,40
144209,7,1,-1,2,1,4,40
144218,7,1,-1,1,1,4,40
144281,19,13,8,9,3,15,21
144351,18,13,4,10,6,11,21
144467,10,1,-1,4,1,2,40
144485,10,1,-1,4,1,2,-3
144500,-3,-3,-3,-3,-3,-3,-3
144564,3,1,-1,2,1,3,40
144573,-3,-3,-3,-3,-3,-3,-3
144740,17,11,15,11,5,15,16
144777,-3,-3,-3,-3,-3,-3,-3
144795,-3,-3,-3,-3,-3,-3,-3
144865,4,1,-1,1,1,5,40
144883,21,9,-1,9,2,9,32
144892,18,10,4,11,4,16,21
144944,5,1,-1,1,1,4,40
144962,19,13,7,11,3,10,32
144971,22,12,-1,10,2,8,32
145099,-3,-3,-3,-3,-3,-3,-3
145239,10,1,-1,4,1,1,-3
145275,24,-2,-2,-2,7,-2,51
